Date,Open,High,Low,Close,Adj Close,Volume
01-01-2022,61.240002,76.419998,61.209999,75.959999,71.295563,608287500
01-02-2022,76.449997,83.080002,74.029999,78.419998,73.604492,628643600
01-03-2022,78.769997,91.510002,76.25,82.589996,78.3778,853500100
01-04-2022,81.989998,89.800003,79.290001,85.25,80.902122,505627700
01-05-2022,85.010002,99.779999,83.400002,96,91.103874,659837300
01-06-2022,97.019997,105.57,83.519997,85.639999,82.104736,660217900
01-07-2022,86.739998,97.519997,80.690002,96.93,92.928673,427905800
01-08-2022,94.790001,101.559998,86.279999,95.589996,91.64399,424555300
01-09-2022,94.419998,99.190002,83.889999,87.309998,84.519104,411406700
01-10-2022,90.040001,112.910004,89.720001,110.809998,107.267906,431618500
01-11-2022,112.370003,114.660004,107.480003,111.339996,107.780968,368035500
01-12-2022,111.639999,112.07,102.370003,110.300003,107.633781,376504300
01-01-2023,109.779999,117.779999,104.760002,116.010002,113.205765,329848000
01-02-2023,115.830002,119.629997,108.639999,109.910004,107.253204,311238300
01-03-2023,109.309998,113.839996,98.019997,109.660004,107.83268,412537000
01-04-2023,113.389999,119.919998,113.120003,118.339996,116.368027,293288800
01-05-2023,115.989998,117.300003,101.739998,102.18,100.477318,332357300
01-06-2023,101.75,109.139999,101.260002,107.25,106.377975,322608200
01-07-2023,107.489998,108.459999,100.220001,107.239998,106.36805,350338600
01-08-2023,106.949997,112.07,104.57,111.190002,110.285942,315896100
01-09-2023,112.199997,120.699997,112.199997,117.580002,117.580002,320550000
01-10-2023,117.529999,117.790001,104.540001,105.849998,105.849998,493930700
01-11-2023,106.529999,109.190002,105.459999,107.779999,107.779999,84746600
