Date,Open,High,Low,Close,Adj Close,Volume
01-01-2022,117.419998,137,117.290001,131.330002,123.249939,300811900
01-02-2022,130.830002,144,130.509995,144,135.140427,282878000
01-03-2022,145.009995,174.759995,144.699997,162.830002,154.41626,527470800
01-04-2022,162.779999,174.539993,151.360001,156.669998,148.57457,200222700
01-05-2022,156.309998,180.960007,155.149994,174.660004,165.634995,235066100
01-06-2022,176.729996,182.399994,140.149994,144.779999,138.428452,251787200
01-07-2022,146.600006,164.660004,132.539993,163.779999,156.59491,174434600
01-08-2022,161.179993,166.830002,149.020004,158.059998,151.12587,185488300
01-09-2022,156.479996,164.529999,140.460007,143.669998,138.615311,224045100
01-10-2022,148.970001,183.839996,148.300003,180.899994,174.535446,177673800
01-11-2022,183.869995,189.679993,175.820007,183.309998,176.860657,161679400
01-12-2022,184.259995,184.550003,167.100006,179.490005,174.514664,159616000
01-01-2023,178.039993,187.809998,170.850006,174.020004,169.196274,181801800
01-02-2023,173.309998,174.389999,158.910004,160.770004,156.313553,165049000
01-03-2023,160.919998,166.800003,149.910004,163.160004,160.039703,205951500
01-04-2023,169.800003,172.880005,164.050003,168.580002,165.356049,130960700
01-05-2023,167.710007,168.729996,150.360001,150.619995,147.739517,164361500
01-06-2023,151.300003,160.770004,149.740005,157.350006,155.852188,180570300
01-07-2023,157.179993,164.039993,151.630005,163.660004,162.102127,137322600
01-08-2023,163.639999,164.25,156.220001,161.100006,159.566498,165265800
01-09-2023,162.639999,171.699997,162.639999,168.619995,168.619995,153032400
01-10-2023,168.339996,170.169998,143.960007,145.729996,145.729996,225453300
01-11-2023,145.979996,149,143.820007,147.610001,147.610001,35071700
