Date,Open,High,Low,Close,Adj Close,Volume
01-01-2022,44.040001,52.09,43.959999,51.400002,48.582085,109350161
01-02-2022,51.59,56.130001,50.68,52.389999,49.517811,87679303
01-03-2022,52.200001,55.93,48.27,54.93,51.91856,132636536
01-04-2022,54.950001,58.68,52.240002,53.43,50.50079,90446927
01-05-2022,52.779999,60.849998,52.310001,59.220001,55.973366,113003590
01-06-2022,59.630001,61.674999,48.639999,52.290001,49.849945,119215557
01-07-2022,51.57,53.5,44.900002,53.380001,50.889076,93921852
01-08-2022,52.799999,56.18,50.810001,52.98,50.507744,110384477
01-09-2022,52.799999,54.564999,46.741001,49.759998,47.888672,116834620
01-10-2022,51.450001,56.730701,49.724201,55.630001,53.537922,118207225
01-11-2022,56.919998,58.740002,53.035,58.470001,56.271122,90606045
01-12-2022,58.689999,58.970001,54.400002,56.950001,55.30019,93979738
01-01-2023,57.470001,60.139999,54.970001,58.810001,57.106308,82819201
01-02-2023,58.68,62.75,56.91,60.77,59.009525,102249978
01-03-2023,61.5,62.73,52.470001,57.540001,56.392239,132932243
01-04-2023,60.75,62.310001,59.009998,61.98,60.743671,78205258
01-05-2023,61.459999,62.029999,55.775002,56,54.882954,94999731
01-06-2023,56.18,61.169998,56.029999,60.380001,59.740662,103863077
01-07-2023,61.259998,63.689999,58.139999,61.630001,60.977425,95060557
01-08-2023,61.220001,63.095001,59.505001,62.09,61.432556,87602620
01-09-2023,63.009998,65.959999,62.474998,64.379997,64.379997,103461214
01-10-2023,64.550003,68.720001,61.59,65.139999,65.139999,142088401
01-11-2023,65.510002,68.739998,65.154999,66.139999,66.139999,19772422
03-11-2023,66.82,66.970001,65.925003,66.139999,66.139999,6737517
